talk_id,para_id,entity_id,before,entities,after,label
4,6,1,"John Cage's """,4'33''," was performed for the first time in the summer of 1952, by renowned pianist David Tudor",WORK_OF_ART
3,14,2,"As an Ethiopian-American woman, I grew up around the language of Amharic, ",Amhariña," It was my first language, the language of my parents, one of the main languages of Ethiopia",GPE
3,14,1,"As an Ethiopian-American woman, I grew up around the language of ",Amharic, Amhariña,GPE
1,0,11,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",atlas,""" but the guitarist pitch bending might be of critical expressive importance",WORK_OF_ART
3,11,2,"Now, I love this story because it's true at multiple levels",Bernie Krause,"describes how a healthy environment has animals and insects taking up low, medium and high-frequency bands, in exactly the same way as a symphony does",PERSON
4,11,4,"To make music like this, John Cage would put objects inside the piano, between the strings",Boris Berman, John Cage wrote incredibly detailed instructions about where to place each object in the piano,PERSON
3,22,7,"Finally, we go to the 1950s United States and the most seminal work of 20th century avant-garde composition: John Cage's ""4:33,"" written for any instrument or combination of instruments",Cage,"shows us that even when there are no strings being plucked by fingers or hands hammering piano keys, still there is music, still there is music, still there is music",PERSON
3,32,0,"Musician, music researcher, surgeon and human hearing expert ",Charles Limb,is a professor at Johns Hopkins University and he studies music and the brain,PERSON
3,11,1,"Now, I love this story because it's true at multiple levels",Congo,tune their instruments to the pitches of the birds in the forest around them,GPE
4,25,0,(,Crickets,chirping and owl hooting) ,ORG
4,6,4,"John Cage's ""4'33''"" was performed for the first time in the summer of 1952, by renowned pianist ",David Tudor," It was at the Maverick Concert hall in Woodstock, New York",PERSON
3,12,1,So let's go now to the uniquely human world of language,English, where a raised pitch at the end of a sentence ,LANGUAGE
3,10,0,In ,Ethiopia, birds are considered an integral part of the origin of music itself,GPE
4,16,1,John Cage visited an anechoic chamber at ,Harvard University, Anechoic chambers are rooms that are acoustically treated to minimize sound to almost zero,ORG
4,1,1,I think about sound all the time,Hertz,""" It's all about the world's most recognizable and interesting sounds",ORG
4,3,2,"John Cage has made an impact on artists in many genres, from avant-garde musicians, to modern dance, to pop music",In a Landscape,""" This version was recorded in 1994 by Stephen Drury",WORK_OF_ART
3,14,6,"As an Ethiopian-American woman, I grew up around the language of Amharic, Amhariña",Indey," — it dips, and then raises again",ORG
3,21,0,"Now, this is based on the work of ",Jason Moran,"and others who work intimately with music and language, but it's also something I've had in my head since I was a kid, how musical my parents sounded when they were speaking to each other and to us",PERSON
