talk_id,para_id,entity_id,before,entities,after,label
0,1,0,"How do we know this? Well, in ",the last few decades, neuroscientists have made enormous breakthroughs in understanding how our brains work by monitoring them in real time with instruments like fMRI and PET scanners,DATE
0,1,1,"How do we know this? Well, in the last few decades, ",neuroscientists,have made enormous breakthroughs in understanding how our brains work by monitoring them in real time with instruments like fMRI and PET scanners,NORP
0,1,2,"How do we know this? Well, in the last few decades, neuroscientists have made enormous breakthroughs in understanding how our brains work by monitoring them in real time with instruments like fMRI and ",PET,scanners,ORG
0,1,3,"How do we know this? Well, in the last few decades, neuroscientists have made enormous breakthroughs in understanding how our brains work by monitoring them in real time with instruments like fMRI and PET scanners",second,between when we first hear the music and when our foot starts to tap along,ORDINAL
0,1,4,"How do we know this? Well, in the last few decades, neuroscientists have made enormous breakthroughs in understanding how our brains work by monitoring them in real time with instruments like fMRI and PET scanners",first,hear the music and when our foot starts to tap along,ORDINAL
0,4,0,"The most obvious difference between listening to music and playing it is that the latter requires fine motor skills, which are controlled in both hemispheres of the brain",two,"hemispheres, allowing messages to get across the brain faster and through more diverse routes",CARDINAL
1,0,0,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated ",dozens," if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",CARDINAL
1,0,1,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not ",hundreds," of times, and it's not just popular songs in the West that repeat a lot",CARDINAL
1,0,2,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the ",West,that repeat a lot,LOC
1,0,3,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",One,part of the answer come from what psychologists call the mere-exposure effect,CARDINAL
1,0,4,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",Super Bowl,ads,EVENT
1,0,5,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",20th century,"composers, and the repetitive versions had been assembled by brute force audio editing, people rated the repetitive versions as more enjoyable, more interesting and more likely to have been composed by a human artist",DATE
1,0,6,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",Muppets,"classic, ""Mahna Mahna",PERSON
1,0,7,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",Mahna Mahna,""" If you've heard it before, it's almost impossible after I sing, ""Mahna mahna,"" not to respond, ""Do doo do do do",PERSON
1,0,8,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",Mahna mahna,""" not to respond, ""Do doo do do do",WORK_OF_ART
1,0,9,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",first,"time, but when it's repeated, your attention shifts to how the guitarist bends a pitch",ORDINAL
1,0,10,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",first,hearing,ORDINAL
1,0,11,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",atlas,""" but the guitarist pitch bending might be of critical expressive importance",WORK_OF_ART
1,0,12,"How many times does the chorus repeat in your favorite song? And, take a moment to think, how many times have you listened to it? Chances are you've heard that chorus repeated dozens, if not hundreds, of times, and it's not just popular songs in the West that repeat a lot",guitarist,pitch bending might be of critical expressive importance,NORP
2,1,0,How did you detect that noise from afar and target its maker with such precision? The ability to recognize sounds and identify their location is possible thanks to the auditory system,two,main parts: the ear and the brain,CARDINAL
2,2,0,"To understand how that works, we can follow a sound on its journey into the ear",first,"problem to solve is how to convert those sound waves, wherever they’re coming from, into waves in the fluid",ORDINAL
2,3,0,"When sound enters the ear canal, it hits the eardrum and makes it vibrate like the head of a drum",third,bone called the stapes,ORDINAL
2,3,1,"When sound enters the ear canal, it hits the eardrum and makes it vibrate like the head of a drum",stereocilia, which move with the vibrations of the cochlear fluid and the basilar membrane,GPE
2,4,0,"When a sound makes the basilar membrane vibrate, not every hair cell moves - only selected ones, depending on the frequency of the sound",one,"end, the basilar membrane is stiff, vibrating only in response to short wavelength, high-frequency sounds",CARDINAL
2,5,0,But that’s not all that’s going on,two,ears to locate the source in space,CARDINAL
2,8,0,Not everyone has normal hearing,third,most common chronic disease in the world,ORDINAL
3,0,0,"As a singer-songwriter, people often ask me about my influences or, as I like to call them, my sonic lineages",Ethiopian,"heritage of my ancestors, or by the 1980s pop on my childhood radio stations",NORP
3,0,1,"As a singer-songwriter, people often ask me about my influences or, as I like to call them, my sonic lineages",1980s,pop on my childhood radio stations,DATE
3,0,2,"As a singer-songwriter, people often ask me about my influences or, as I like to call them, my sonic lineages",today,"about three things: nature, language and silence — or rather, the impossibility of true silence",DATE
3,0,3,"As a singer-songwriter, people often ask me about my influences or, as I like to call them, my sonic lineages",about three,"things: nature, language and silence — or rather, the impossibility of true silence",CARDINAL
3,1,0,I'm going to start ,today,"with nature, but before we do that, let's quickly listen to this snippet of an opera singer warming up",DATE
3,4,0,"It's beautiful, isn't it? Gotcha! That is actually not the sound of an opera singer warming up",Peter Szöke's,"1987 Hungarian recording ""The Unknown Music of Birds,"" where he records many birds and slows down their pitches to reveal what's underneath",ORG
3,4,1,"It's beautiful, isn't it? Gotcha! That is actually not the sound of an opera singer warming up",1987,"Hungarian recording ""The Unknown Music of Birds,"" where he records many birds and slows down their pitches to reveal what's underneath",DATE
3,4,2,"It's beautiful, isn't it? Gotcha! That is actually not the sound of an opera singer warming up",Hungarian,"recording ""The Unknown Music of Birds,"" where he records many birds and slows down their pitches to reveal what's underneath",NORP
3,4,3,"It's beautiful, isn't it? Gotcha! That is actually not the sound of an opera singer warming up",The Unknown Music of Birds,""" where he records many birds and slows down their pitches to reveal what's underneath",WORK_OF_ART
3,6,0,"Now, let's hear the ",two,of them together so your brain can juxtapose them,CARDINAL
3,10,0,In ,Ethiopia, birds are considered an integral part of the origin of music itself,GPE
3,10,1,"In Ethiopia, birds are considered an integral part of the origin of music itself","1,500 years ago"," a young man was born in the Empire of Aksum, a major trading center of the ancient world",DATE
3,10,2,"In Ethiopia, birds are considered an integral part of the origin of music itself",the Empire of Aksum, a major trading center of the ancient world,GPE
3,10,3,"In Ethiopia, birds are considered an integral part of the origin of music itself",Yared," When Yared was seven years old his father died, and his mother sent him to go live with an uncle, who was a priest of the Ethiopian Orthodox tradition, one of the oldest churches in the world",PERSON
3,10,4,"In Ethiopia, birds are considered an integral part of the origin of music itself",Yared,"was seven years old his father died, and his mother sent him to go live with an uncle, who was a priest of the Ethiopian Orthodox tradition, one of the oldest churches in the world",PERSON
3,10,5,"In Ethiopia, birds are considered an integral part of the origin of music itself",seven years old,"his father died, and his mother sent him to go live with an uncle, who was a priest of the Ethiopian Orthodox tradition, one of the oldest churches in the world",DATE
3,10,6,"In Ethiopia, birds are considered an integral part of the origin of music itself",Ethiopian Orthodox,"tradition, one of the oldest churches in the world",NORP
3,10,7,"In Ethiopia, birds are considered an integral part of the origin of music itself",Yared,"had to study and study and study and study, and one day he was studying under a tree, when three birds came to him",PRODUCT
3,10,8,"In Ethiopia, birds are considered an integral part of the origin of music itself",one day,"he was studying under a tree, when three birds came to him",DATE
3,10,9,"In Ethiopia, birds are considered an integral part of the origin of music itself",three,birds came to him,CARDINAL
3,10,10,"In Ethiopia, birds are considered an integral part of the origin of music itself",One,"by one, these birds became his teachers",CARDINAL
3,10,11,"In Ethiopia, birds are considered an integral part of the origin of music itself",Yared," eventually recognized as Saint Yared, used these scales to compose five volumes of chants and hymns for worship and celebration",PRODUCT
3,10,12,"In Ethiopia, birds are considered an integral part of the origin of music itself",Saint Yared, used these scales to compose five volumes of chants and hymns for worship and celebration,PERSON
3,10,13,"In Ethiopia, birds are considered an integral part of the origin of music itself",five,volumes of chants and hymns for worship and celebration,CARDINAL
3,10,14,"In Ethiopia, birds are considered an integral part of the origin of music itself",five,"note, modal system that is very much alive and thriving and still evolving in Ethiopia today",CARDINAL
3,10,15,"In Ethiopia, birds are considered an integral part of the origin of music itself",Ethiopia,today,GPE
3,10,16,"In Ethiopia, birds are considered an integral part of the origin of music itself",today, ,DATE
