talk_id,para_id,entity_id,before,entities,after,label
0,0,0," Aesthetically speaking, there's a world of difference between, say, ",Beethoven,"and Justin Bieber, but both artists have used the same building blocks to create their music: notes",PERSON
0,0,1," Aesthetically speaking, there's a world of difference between, say, Beethoven and ",Justin Bieber, but both artists have used the same building blocks to create their music: notes,PERSON
0,0,43," Sure, it takes some practice to get used to reading it quickly and playing what we see on our instrument, but, with a bit of time and patience, you could be the next ",Beethoven,or Justin Bieber,PERSON
0,0,44," Sure, it takes some practice to get used to reading it quickly and playing what we see on our instrument, but, with a bit of time and patience, you could be the next Beethoven or ",Justin Bieber,,PERSON
1,0,1," Which ends up being heard as the main beat is not a precise rule, but like the famous ",Rubin,"s vase, can be reversed depending on cultural perception",PERSON
1,0,12," This is the basis of the music of Whirling Dervishes, as well as a broad range of Latin American rhythms, such as Joropo, and even ",Bach,s famous Chaconne,PERSON
1,0,13," This is the basis of the music of Whirling Dervishes, as well as a broad range of Latin American rhythms, such as Joropo, and even Bach's famous ",Chaconne," Now if we remember Rubin's vase and hear the off beats as the main beats, this will give us a six-eight feel, as found in genres such as Chacarera, and Quechua, Persian music and more",PERSON
1,0,14, Now if we remember ,Rubin,"s vase and hear the off beats as the main beats, this will give us a six-eight feel, as found in genres such as Chacarera, and Quechua, Persian music and more",PERSON
1,0,16," Now if we remember Rubin's vase and hear the off beats as the main beats, this will give us a six-eight feel, as found in genres such as ",Chacarera," and Quechua, Persian music and more",ORG
1,0,17," Now if we remember Rubin's vase and hear the off beats as the main beats, this will give us a six-eight feel, as found in genres such as Chacarera, and ",Quechua, Persian music and more,LOC
1,0,23," This rhythmic configuration is found as the Cuban cinquillo, in the Puerto Rican bomba, and in ",Northern Romanian,music,LOC
1,0,25, And rotating the outer circle 90 degrees counterclockwise gives us a pattern often found in ,Middle Eastern,"music, as well as Brazilian choro, and Argentinian tango",LOC
3,0,1, So how does practice or repetition affect the inner workings of our brains? The axons that exist in the white matter are wrapped with a fatty substance called ,myelin," And it's this myelin covering, or sheath, that seems to change with practice",ORG
3,0,2, And it's this ,myelin,"covering, or sheath, that seems to change with practice",ORG
3,0,3, ,Myelin,is similar to insulation on electrical cables,ORG
3,0,10," Laptops, smartphones, and particularly ",Facebook,were the root of most distractions,ORG
3,0,16, ,Group A,physically practiced one-handed free throws while Group B only mentally practiced them,PERSON
3,0,19," In the meantime, effective practice is the best way we have of pushing our individual limits, achieving ",new heights, and maximizing our potential,LOC
4,14,5," I do all of this with drafting templates, with straight edges, with French curves, and by freehand, and the 72 feet was actually split into 12 six-foot-wide panels that were installed around ",the Cantor Arts Center Museum,"lobby balcony, and it appeared for one year in the museum, and during that year, it was experienced as visual art most of the week, except, as you can see in these pictures, on Fridays, from noon til one, and only during that time, various performers came and interpreted these strange and undefined pictographic glyphs",ORG
4,17,2, I took the ,Copenhagen,"subway map and I renamed all the stations to abstract musical provocations, and the players, who are synchronized with stopwatches, follow the timetables, which are listed in minutes past the hour",ORG
4,33,1," And I'll perform just an excerpt of """,Aphasia, for you here,WORK_OF_ART
5,17,6," Actually, he is quite well known in the ",Boston,"area — mentors people at the hospital and children, locally, in how to make their own music",LOC
5,17,7, And I'll let ,Adam,tell you,PERSON
5,17,8," So, ",Adam,is a Ph,PERSON
5,17,9," So, Adam is a ",Ph.D.,"student at MIT, an expert in music technology and medicine",WORK_OF_ART
5,17,10, student at ,MIT, an expert in music technology and medicine,ORG
5,17,11, And ,Adam,and Dan have become close collaborators,PERSON
5,17,12, And Adam and ,Dan,have become close collaborators,PERSON
5,17,13, What ,Adam,"s been working on for this last period is not only how to have Dan be able easily to make his own pieces, but how he can perform his piece using this kind of personal instrument",PERSON
5,17,14, What Adam's been working on for this last period is not only how to have ,Dan,"be able easily to make his own pieces, but how he can perform his piece using this kind of personal instrument",PERSON
5,22,4," In fact, this is the score for Dan's piece, completely composed by Dan in ",Hyperscore, So he can use his infrared tracker to go directly into Hyperscore,LOC
5,22,5, So he can use his infrared tracker to go directly into ,Hyperscore," He's incredibly fast at it, too, faster than I am, in fact",ORG
5,26,2," So, in hearing this piece, as I mentioned before, the most important thing is the music's great, and it'll show you who ",Dan,is,PERSON
5,26,3," So, are we ready ",Adam,,PERSON
5,28,1,"TM: OK, now Dan will play his piece ""","My Eagle Song"" for you", (Applause),WORK_OF_ART
5,29,0,TM: ,Bravo, (Applause),PERSON
6,5,6, How did this piece of 18th century Austrian aristocratic entertainment turn into the victory crow of this ,New York,kid? How was that passed on? How did he get to hear Mozart?,LOC
6,5,7, How did this piece of 18th century Austrian aristocratic entertainment turn into the victory crow of this New York kid? How was that passed on? How did he get to hear ,Mozart,,PERSON
6,34,0,"And of course, ",the New World Symphony,led to the YouTube Symphony and projects on the internet that reach out to musicians and audiences all over the world,ORG
6,34,1,"And of course, the New World Symphony led to ",the YouTube Symphony,and projects on the internet that reach out to musicians and audiences all over the world,ORG
7,0,1, The ancient Greek philosopher ,Plato,explored the idea that we love in order to become complete,ORG
7,0,2," In his """,Symposium,", he wrote about a dinner party, at which Aristophanes, a comic playwright, regales the guests with the following story: humans were once creatures with four arms, four legs, and two faces",WORK_OF_ART
7,0,7," One day, they angered the gods, and ",Zeus,sliced them all in two,PERSON
7,0,10," Love is the longing to find a soulmate who'll make us feel whole again, or, at least, that's what ",Plato,believed a drunken comedian would say at a party,PERSON
7,0,12," Much, much later, German philosopher ",Arthur Schopenhauer,maintained that love based in sexual desire was a voluptuous illusion,PERSON
7,0,13, According to ,the Nobel Prize,"winning British philosopher Bertrand Russell, we love in order to quench our physical and psychological desires",WORK_OF_ART
7,0,15, According to the Nobel Prize-winning British philosopher ,Bertrand Russell, we love in order to quench our physical and psychological desires,PERSON
7,0,16, ,Love,"s delight, intimacy, and warmth helps us overcome our fear of the world, escape our lonely shells, and engage more abundantly in life",PERSON
7,0,17, ,Siddhārtha Gautama," who became known as the Buddha, or the Enlightened One, probably would have had some interesting arguments with Russell",PERSON
7,0,18," Siddhārtha Gautama, who became known as the ",Buddha," or the Enlightened One, probably would have had some interesting arguments with Russell",PERSON
7,0,19," Siddhārtha Gautama, who became known as the Buddha, or the Enlightened One, probably would have had some interesting arguments with ",Russell, Buddha proposed that we love because we are trying to satisfy our base desires,PERSON
7,0,20, ,Buddha,proposed that we love because we are trying to satisfy our base desires,PERSON
7,0,21," Luckily, ",Buddha,"discovered the eight-fold path, a sort of program for extinguishing the fires of desire so that we can reach Nirvana, an enlightened state of peace, clarity, wisdom, and compassion",PERSON
7,0,23," Luckily, Buddha discovered the eight-fold path, a sort of program for extinguishing the fires of desire so that we can reach ",Nirvana," an enlightened state of peace, clarity, wisdom, and compassion",PERSON
7,0,24, The novelist ,Cao Xueqin,"illustrated this Buddhist sentiment that romantic love is folly in one of China's greatest classical novels, ""Dream of the Red Chamber",PERSON
7,0,27, The novelist Cao Xueqin illustrated this Buddhist sentiment that romantic love is folly in one of ,China,"s greatest classical novels, ""Dream of the Red Chamber",LOC
7,0,28," The novelist Cao Xueqin illustrated this Buddhist sentiment that romantic love is folly in one of China's greatest classical novels, ""Dream of ",the Red Chamber,""" In a subplot, Jia Rui falls in love with Xi-feng who tricks and humiliates him",ORG
7,0,29,""" In a subplot, ",Jia Rui,falls in love with Xi-feng who tricks and humiliates him,PERSON
7,0,30,""" In a subplot, Jia Rui falls in love with ",Xi-feng,who tricks and humiliates him,PERSON
7,0,31," Conflicting emotions of love and hate tear him apart, so a ",Taoist,gives him a magic mirror that can cure him as long as he doesn't look at the front of it,ORG
7,0,32, He sees ,Xi-feng, His soul enters the mirror and he is dragged away in iron chains to die,PERSON
7,0,35, The French philosopher ,Simone de Beauvoir, proposed that love is the desire to integrate with another and that it infuses our lives with meaning,ORG
7,0,36," To avoid this trap, ",Beauvoir,"advised loving authentically, which is more like a great friendship",PERSON
8,19,11," It's shown being presented here, put into its case by the director of the National Museum of Tehran, one of the many women in ",Iran,"in very senior positions, Mrs",LOC
8,19,12, ,Ardakani, It was a huge event,PERSON
8,19,13, It's seen in ,Tehran,by between one and two million people in the space of a few months,LOC
8,19,16, This is beyond any blockbuster exhibition in the ,West," And it's the subject of a huge debate about what this cylinder means, what Cyrus means, but above all, Cyrus as articulated through this cylinder — Cyrus as the defender of the homeland, the champion, of course, of Iranian identity and of the Iranian peoples, tolerant of all faiths",LOC
8,19,17," And it's the subject of a huge debate about what this cylinder means, what ",Cyrus,"means, but above all, Cyrus as articulated through this cylinder — Cyrus as the defender of the homeland, the champion, of course, of Iranian identity and of the Iranian peoples, tolerant of all faiths",PERSON
8,19,18," And it's the subject of a huge debate about what this cylinder means, what Cyrus means, but above all, ",Cyrus,"as articulated through this cylinder — Cyrus as the defender of the homeland, the champion, of course, of Iranian identity and of the Iranian peoples, tolerant of all faiths",PERSON
8,19,19," And it's the subject of a huge debate about what this cylinder means, what Cyrus means, but above all, Cyrus as articulated through this cylinder — ",Cyrus,"as the defender of the homeland, the champion, of course, of Iranian identity and of the Iranian peoples, tolerant of all faiths",PERSON
8,19,22, And in the current ,Iran," Zoroastrians and Christians have guaranteed places in the Iranian parliament, something to be very, very proud of",LOC
8,19,23," And in the current Iran, ",Zoroastrians,"and Christians have guaranteed places in the Iranian parliament, something to be very, very proud of",LOC
8,20,10, Here you see this out-sized Cyrus cylinder on the stage with great figures from Iranian history gathering to take their place in the heritage of ,Iran, It was a narrative presented by the president himself,LOC
8,21,7, It certainly says far more about real freedoms than ,Magna Carta," It is a document that can mean so many things, for Iran and for the region",ORG
8,21,8," It is a document that can mean so many things, for ",Iran,and for the region,LOC
8,22,3," In New York this autumn, it will be present when the great debates about the future of ",the Middle East,take place,LOC
8,22,4," It will appear, certainly, in many more ",Middle Eastern,stories,LOC
8,22,5, And what story of ,the Middle East," what story of the world, do you want to see reflecting what is said, what is expressed in this cylinder? The right of peoples to live together in the same state, worshiping differently, freely — a Middle East, a world, in which religion is not the subject of division or of debate",LOC
8,22,6," And what story of the Middle East, what story of the world, do you want to see reflecting what is said, what is expressed in this cylinder? The right of peoples to live together in the same state, worshiping differently, freely — ",a Middle East," a world, in which religion is not the subject of division or of debate",LOC
8,23,0,In the world of ,the Middle East,"at the moment, the debates are, as you know, shrill",LOC
8,23,1," But I think it's possible that the most powerful and the wisest voice of all of them may well be the voice of this mute thing, the ",Cyrus,cylinder,ORG
9,6,21, Thirty-three go on ,the Silk Road,"to China, South Asia and Southeast Asia",ORG
9,6,22," Thirty-three go on the Silk Road to China, ",South Asia,and Southeast Asia,LOC
9,6,23," Thirty-three go on the Silk Road to China, South Asia and ",Southeast Asia," And 33 are spread between Europe, the Middle East and Africa",LOC
9,6,25, And 33 are spread between ,Europe, the Middle East and Africa,LOC
9,6,26," And 33 are spread between Europe, ",the Middle East,and Africa,LOC
9,6,27," And 33 are spread between Europe, the Middle East and ",Africa,,LOC
9,43,16, This is ,Islam,s influence on Hinduism and Judaism,ORG
9,43,17, This is Islam's influence on ,Hinduism,and Judaism,ORG
9,43,19, But what do the students in ,Kuwait,say? They said it's us — and this is dangerous,LOC
9,49,0,"Just today, ",D.C. Comics,announced the cover of our upcoming crossover,ORG
9,49,1, On that cover you see ,Batman," Superman and a fully-clothed Wonder Woman with our Saudi member of The 99, our Emirati member and our Libyan member",PERSON
9,49,2," On that cover you see Batman, ",Superman,"and a fully-clothed Wonder Woman with our Saudi member of The 99, our Emirati member and our Libyan member",PERSON
9,49,3," On that cover you see Batman, Superman and a fully-clothed ",Wonder Woman,"with our Saudi member of The 99, our Emirati member and our Libyan member",ORG
9,49,6," On that cover you see Batman, Superman and a fully-clothed Wonder Woman with our Saudi member of The 99, our ",Emirati,member and our Libyan member,ORG
9,49,9," On April 26, 2010, President ",Barack Obama,said that of all the initiatives since his now famous Cairo speech — in which he reached out to the Muslim world — the most innovative was that The 99 reach back out to the Justice League of America,PERSON
9,49,10," On April 26, 2010, President Barack Obama said that of all the initiatives since his now famous ",Cairo,speech — in which he reached out to the Muslim world — the most innovative was that The 99 reach back out to the Justice League of America,LOC
9,49,13," On April 26, 2010, President Barack Obama said that of all the initiatives since his now famous Cairo speech — in which he reached out to the Muslim world — the most innovative was that The 99 reach back out to ",the Justice League of America," We live in a world in which the most culturally innocuous symbols, like the falafel, can be misunderstood because of baggage, and where religion can be twisted and purposefully made where it's not supposed to be by others",ORG
9,49,14," In a world like that, they'll always be a job for ",Superman,and The 99,PERSON
10,23,5," And he knew very intuitively, that best practices, developed in Japan and ",China,and Europe and America will not work in India,LOC
10,23,6," And he knew very intuitively, that best practices, developed in Japan and China and ",Europe,and America will not work in India,LOC
10,23,7," And he knew very intuitively, that best practices, developed in Japan and China and Europe and ",America,will not work in India,LOC
10,23,8," And he knew very intuitively, that best practices, developed in Japan and China and Europe and America will not work in ",India, He knew that institutional thinking doesn't work in India,LOC
10,23,9, He knew that institutional thinking doesn't work in ,India, Individual thinking does,LOC
10,23,10, He had an intuitive understanding of the mythic structure of ,India,,LOC
10,28,1, Who sees it all? ,Varuna,has but a thousand eyes,LOC
10,28,3, ,Indra, a hundred,PERSON
11,0,0,"Hello, my name is ",Christian Rudder, and I was one of the founders of OkCupid,PERSON
11,0,1,"Hello, my name is Christian Rudder, and I was one of the founders of ",OkCupid, It's now one of the biggest dating sites in the United States,LOC
11,0,3, It's now one of the biggest dating sites in ,the United States," Like most everyone at the site, I was a math major, As you may expect, we're known for the analytic approach we take to love",LOC
11,0,4," Basically, ",OkCupid,s matching algorithm helps us decide whether two people should go on a date,LOC
11,0,6, The math behind ,OkCupid,s matching algorithm is surprisingly simple,ORG
